1.png	grinning face	😀️	\U0001F600\U0000FE0F	U+1F600	grinning face
2064.png	woman biking: dark skin tone	🚴🏿‍♀️️	\U0001F6B4\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6B4 U+1F3FF U+200D U+2640 U+FE0F	woman biking: dark skin tone
2065.png	person mountain biking: light skin tone	🚵🏻️	\U0001F6B5\U0001F3FB\U0000FE0F	U+1F6B5 U+1F3FB	person mountain biking: light skin tone
2066.png	person mountain biking: medium-light skin tone	🚵🏼️	\U0001F6B5\U0001F3FC\U0000FE0F	U+1F6B5 U+1F3FC	person mountain biking: medium-light skin tone
2067.png	person mountain biking: medium skin tone	🚵🏽️	\U0001F6B5\U0001F3FD\U0000FE0F	U+1F6B5 U+1F3FD	person mountain biking: medium skin tone
2068.png	person mountain biking: medium-dark skin tone	🚵🏾️	\U0001F6B5\U0001F3FE\U0000FE0F	U+1F6B5 U+1F3FE	person mountain biking: medium-dark skin tone
2069.png	person mountain biking: dark skin tone	🚵🏿️	\U0001F6B5\U0001F3FF\U0000FE0F	U+1F6B5 U+1F3FF	person mountain biking: dark skin tone
2070.png	man mountain biking: light skin tone	🚵🏻‍♂️️	\U0001F6B5\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6B5 U+1F3FB U+200D U+2642 U+FE0F	man mountain biking: light skin tone
2071.png	man mountain biking: medium-light skin tone	🚵🏼‍♂️️	\U0001F6B5\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6B5 U+1F3FC U+200D U+2642 U+FE0F	man mountain biking: medium-light skin tone
2072.png	man mountain biking: medium skin tone	🚵🏽‍♂️️	\U0001F6B5\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6B5 U+1F3FD U+200D U+2642 U+FE0F	man mountain biking: medium skin tone
2073.png	man mountain biking: medium-dark skin tone	🚵🏾‍♂️️	\U0001F6B5\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6B5 U+1F3FE U+200D U+2642 U+FE0F	man mountain biking: medium-dark skin tone
2074.png	man mountain biking: dark skin tone	🚵🏿‍♂️️	\U0001F6B5\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F6B5 U+1F3FF U+200D U+2642 U+FE0F	man mountain biking: dark skin tone
2075.png	woman mountain biking: light skin tone	🚵🏻‍♀️️	\U0001F6B5\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6B5 U+1F3FB U+200D U+2640 U+FE0F	woman mountain biking: light skin tone
2076.png	woman mountain biking: medium-light skin tone	🚵🏼‍♀️️	\U0001F6B5\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6B5 U+1F3FC U+200D U+2640 U+FE0F	woman mountain biking: medium-light skin tone
2077.png	woman mountain biking: medium skin tone	🚵🏽‍♀️️	\U0001F6B5\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6B5 U+1F3FD U+200D U+2640 U+FE0F	woman mountain biking: medium skin tone
2078.png	woman mountain biking: medium-dark skin tone	🚵🏾‍♀️️	\U0001F6B5\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6B5 U+1F3FE U+200D U+2640 U+FE0F	woman mountain biking: medium-dark skin tone
2079.png	woman mountain biking: dark skin tone	🚵🏿‍♀️️	\U0001F6B5\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F6B5 U+1F3FF U+200D U+2640 U+FE0F	woman mountain biking: dark skin tone
2080.png	person cartwheeling: light skin tone	🤸🏻️	\U0001F938\U0001F3FB\U0000FE0F	U+1F938 U+1F3FB	person cartwheeling: light skin tone
2081.png	person cartwheeling: medium-light skin tone	🤸🏼️	\U0001F938\U0001F3FC\U0000FE0F	U+1F938 U+1F3FC	person cartwheeling: medium-light skin tone
2082.png	person cartwheeling: medium skin tone	🤸🏽️	\U0001F938\U0001F3FD\U0000FE0F	U+1F938 U+1F3FD	person cartwheeling: medium skin tone
2083.png	person cartwheeling: medium-dark skin tone	🤸🏾️	\U0001F938\U0001F3FE\U0000FE0F	U+1F938 U+1F3FE	person cartwheeling: medium-dark skin tone
2084.png	person cartwheeling: dark skin tone	🤸🏿️	\U0001F938\U0001F3FF\U0000FE0F	U+1F938 U+1F3FF	person cartwheeling: dark skin tone
2085.png	man cartwheeling: light skin tone	🤸🏻‍♂️️	\U0001F938\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F938 U+1F3FB U+200D U+2642 U+FE0F	man cartwheeling: light skin tone
2086.png	man cartwheeling: medium-light skin tone	🤸🏼‍♂️️	\U0001F938\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F938 U+1F3FC U+200D U+2642 U+FE0F	man cartwheeling: medium-light skin tone
2087.png	man cartwheeling: medium skin tone	🤸🏽‍♂️️	\U0001F938\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F938 U+1F3FD U+200D U+2642 U+FE0F	man cartwheeling: medium skin tone
2088.png	man cartwheeling: medium-dark skin tone	🤸🏾‍♂️️	\U0001F938\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F938 U+1F3FE U+200D U+2642 U+FE0F	man cartwheeling: medium-dark skin tone
2089.png	man cartwheeling: dark skin tone	🤸🏿‍♂️️	\U0001F938\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F938 U+1F3FF U+200D U+2642 U+FE0F	man cartwheeling: dark skin tone
2090.png	woman cartwheeling: light skin tone	🤸🏻‍♀️️	\U0001F938\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F938 U+1F3FB U+200D U+2640 U+FE0F	woman cartwheeling: light skin tone
2091.png	woman cartwheeling: medium-light skin tone	🤸🏼‍♀️️	\U0001F938\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F938 U+1F3FC U+200D U+2640 U+FE0F	woman cartwheeling: medium-light skin tone
2092.png	woman cartwheeling: medium skin tone	🤸🏽‍♀️️	\U0001F938\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F938 U+1F3FD U+200D U+2640 U+FE0F	woman cartwheeling: medium skin tone
2093.png	woman cartwheeling: medium-dark skin tone	🤸🏾‍♀️️	\U0001F938\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F938 U+1F3FE U+200D U+2640 U+FE0F	woman cartwheeling: medium-dark skin tone
2094.png	woman cartwheeling: dark skin tone	🤸🏿‍♀️️	\U0001F938\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F938 U+1F3FF U+200D U+2640 U+FE0F	woman cartwheeling: dark skin tone
2095.png	person playing water polo: light skin tone	🤽🏻️	\U0001F93D\U0001F3FB\U0000FE0F	U+1F93D U+1F3FB	person playing water polo: light skin tone
2096.png	person playing water polo: medium-light skin tone	🤽🏼️	\U0001F93D\U0001F3FC\U0000FE0F	U+1F93D U+1F3FC	person playing water polo: medium-light skin tone
2097.png	person playing water polo: medium skin tone	🤽🏽️	\U0001F93D\U0001F3FD\U0000FE0F	U+1F93D U+1F3FD	person playing water polo: medium skin tone
2098.png	person playing water polo: medium-dark skin tone	🤽🏾️	\U0001F93D\U0001F3FE\U0000FE0F	U+1F93D U+1F3FE	person playing water polo: medium-dark skin tone
2099.png	person playing water polo: dark skin tone	🤽🏿️	\U0001F93D\U0001F3FF\U0000FE0F	U+1F93D U+1F3FF	person playing water polo: dark skin tone
2100.png	man playing water polo: light skin tone	🤽🏻‍♂️️	\U0001F93D\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F93D U+1F3FB U+200D U+2642 U+FE0F	man playing water polo: light skin tone
2101.png	man playing water polo: medium-light skin tone	🤽🏼‍♂️️	\U0001F93D\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F93D U+1F3FC U+200D U+2642 U+FE0F	man playing water polo: medium-light skin tone
2102.png	man playing water polo: medium skin tone	🤽🏽‍♂️️	\U0001F93D\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F93D U+1F3FD U+200D U+2642 U+FE0F	man playing water polo: medium skin tone
2103.png	man playing water polo: medium-dark skin tone	🤽🏾‍♂️️	\U0001F93D\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F93D U+1F3FE U+200D U+2642 U+FE0F	man playing water polo: medium-dark skin tone
2104.png	man playing water polo: dark skin tone	🤽🏿‍♂️️	\U0001F93D\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F93D U+1F3FF U+200D U+2642 U+FE0F	man playing water polo: dark skin tone
2105.png	woman playing water polo: light skin tone	🤽🏻‍♀️️	\U0001F93D\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F93D U+1F3FB U+200D U+2640 U+FE0F	woman playing water polo: light skin tone
2106.png	woman playing water polo: medium-light skin tone	🤽🏼‍♀️️	\U0001F93D\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F93D U+1F3FC U+200D U+2640 U+FE0F	woman playing water polo: medium-light skin tone
2107.png	woman playing water polo: medium skin tone	🤽🏽‍♀️️	\U0001F93D\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F93D U+1F3FD U+200D U+2640 U+FE0F	woman playing water polo: medium skin tone
2108.png	woman playing water polo: medium-dark skin tone	🤽🏾‍♀️️	\U0001F93D\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F93D U+1F3FE U+200D U+2640 U+FE0F	woman playing water polo: medium-dark skin tone
2109.png	woman playing water polo: dark skin tone	🤽🏿‍♀️️	\U0001F93D\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F93D U+1F3FF U+200D U+2640 U+FE0F	woman playing water polo: dark skin tone
2110.png	person playing handball: light skin tone	🤾🏻️	\U0001F93E\U0001F3FB\U0000FE0F	U+1F93E U+1F3FB	person playing handball: light skin tone
2111.png	person playing handball: medium-light skin tone	🤾🏼️	\U0001F93E\U0001F3FC\U0000FE0F	U+1F93E U+1F3FC	person playing handball: medium-light skin tone
2112.png	person playing handball: medium skin tone	🤾🏽️	\U0001F93E\U0001F3FD\U0000FE0F	U+1F93E U+1F3FD	person playing handball: medium skin tone
2113.png	person playing handball: medium-dark skin tone	🤾🏾️	\U0001F93E\U0001F3FE\U0000FE0F	U+1F93E U+1F3FE	person playing handball: medium-dark skin tone
2114.png	person playing handball: dark skin tone	🤾🏿️	\U0001F93E\U0001F3FF\U0000FE0F	U+1F93E U+1F3FF	person playing handball: dark skin tone
2115.png	man playing handball: light skin tone	🤾🏻‍♂️️	\U0001F93E\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F93E U+1F3FB U+200D U+2642 U+FE0F	man playing handball: light skin tone
2116.png	man playing handball: medium-light skin tone	🤾🏼‍♂️️	\U0001F93E\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F93E U+1F3FC U+200D U+2642 U+FE0F	man playing handball: medium-light skin tone
2117.png	man playing handball: medium skin tone	🤾🏽‍♂️️	\U0001F93E\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F93E U+1F3FD U+200D U+2642 U+FE0F	man playing handball: medium skin tone
2118.png	man playing handball: medium-dark skin tone	🤾🏾‍♂️️	\U0001F93E\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F93E U+1F3FE U+200D U+2642 U+FE0F	man playing handball: medium-dark skin tone
2119.png	man playing handball: dark skin tone	🤾🏿‍♂️️	\U0001F93E\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F93E U+1F3FF U+200D U+2642 U+FE0F	man playing handball: dark skin tone
2120.png	woman playing handball: light skin tone	🤾🏻‍♀️️	\U0001F93E\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F93E U+1F3FB U+200D U+2640 U+FE0F	woman playing handball: light skin tone
2121.png	woman playing handball: medium-light skin tone	🤾🏼‍♀️️	\U0001F93E\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F93E U+1F3FC U+200D U+2640 U+FE0F	woman playing handball: medium-light skin tone
2122.png	woman playing handball: medium skin tone	🤾🏽‍♀️️	\U0001F93E\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F93E U+1F3FD U+200D U+2640 U+FE0F	woman playing handball: medium skin tone
2123.png	woman playing handball: medium-dark skin tone	🤾🏾‍♀️️	\U0001F93E\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F93E U+1F3FE U+200D U+2640 U+FE0F	woman playing handball: medium-dark skin tone
2124.png	woman playing handball: dark skin tone	🤾🏿‍♀️️	\U0001F93E\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F93E U+1F3FF U+200D U+2640 U+FE0F	woman playing handball: dark skin tone
2125.png	person juggling: light skin tone	🤹🏻️	\U0001F939\U0001F3FB\U0000FE0F	U+1F939 U+1F3FB	person juggling: light skin tone
2126.png	person juggling: medium-light skin tone	🤹🏼️	\U0001F939\U0001F3FC\U0000FE0F	U+1F939 U+1F3FC	person juggling: medium-light skin tone
2127.png	person juggling: medium skin tone	🤹🏽️	\U0001F939\U0001F3FD\U0000FE0F	U+1F939 U+1F3FD	person juggling: medium skin tone
2128.png	person juggling: medium-dark skin tone	🤹🏾️	\U0001F939\U0001F3FE\U0000FE0F	U+1F939 U+1F3FE	person juggling: medium-dark skin tone
2129.png	person juggling: dark skin tone	🤹🏿️	\U0001F939\U0001F3FF\U0000FE0F	U+1F939 U+1F3FF	person juggling: dark skin tone
2130.png	man juggling: light skin tone	🤹🏻‍♂️️	\U0001F939\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F939 U+1F3FB U+200D U+2642 U+FE0F	man juggling: light skin tone
2131.png	man juggling: medium-light skin tone	🤹🏼‍♂️️	\U0001F939\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F939 U+1F3FC U+200D U+2642 U+FE0F	man juggling: medium-light skin tone
2132.png	man juggling: medium skin tone	🤹🏽‍♂️️	\U0001F939\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F939 U+1F3FD U+200D U+2642 U+FE0F	man juggling: medium skin tone
2133.png	man juggling: medium-dark skin tone	🤹🏾‍♂️️	\U0001F939\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F939 U+1F3FE U+200D U+2642 U+FE0F	man juggling: medium-dark skin tone
2134.png	man juggling: dark skin tone	🤹🏿‍♂️️	\U0001F939\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F939 U+1F3FF U+200D U+2642 U+FE0F	man juggling: dark skin tone
2135.png	woman juggling: light skin tone	🤹🏻‍♀️️	\U0001F939\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F939 U+1F3FB U+200D U+2640 U+FE0F	woman juggling: light skin tone
2136.png	woman juggling: medium-light skin tone	🤹🏼‍♀️️	\U0001F939\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F939 U+1F3FC U+200D U+2640 U+FE0F	woman juggling: medium-light skin tone
2137.png	woman juggling: medium skin tone	🤹🏽‍♀️️	\U0001F939\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F939 U+1F3FD U+200D U+2640 U+FE0F	woman juggling: medium skin tone
2138.png	woman juggling: medium-dark skin tone	🤹🏾‍♀️️	\U0001F939\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F939 U+1F3FE U+200D U+2640 U+FE0F	woman juggling: medium-dark skin tone
2139.png	woman juggling: dark skin tone	🤹🏿‍♀️️	\U0001F939\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F939 U+1F3FF U+200D U+2640 U+FE0F	woman juggling: dark skin tone
2140.png	person in lotus position: light skin tone	🧘🏻️	\U0001F9D8\U0001F3FB\U0000FE0F	U+1F9D8 U+1F3FB	person in lotus position: light skin tone
2141.png	person in lotus position: medium-light skin tone	🧘🏼️	\U0001F9D8\U0001F3FC\U0000FE0F	U+1F9D8 U+1F3FC	person in lotus position: medium-light skin tone
2142.png	person in lotus position: medium skin tone	🧘🏽️	\U0001F9D8\U0001F3FD\U0000FE0F	U+1F9D8 U+1F3FD	person in lotus position: medium skin tone
2143.png	person in lotus position: medium-dark skin tone	🧘🏾️	\U0001F9D8\U0001F3FE\U0000FE0F	U+1F9D8 U+1F3FE	person in lotus position: medium-dark skin tone
2144.png	person in lotus position: dark skin tone	🧘🏿️	\U0001F9D8\U0001F3FF\U0000FE0F	U+1F9D8 U+1F3FF	person in lotus position: dark skin tone
2145.png	man in lotus position: light skin tone	🧘🏻‍♂️️	\U0001F9D8\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9D8 U+1F3FB U+200D U+2642 U+FE0F	man in lotus position: light skin tone
2146.png	man in lotus position: medium-light skin tone	🧘🏼‍♂️️	\U0001F9D8\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9D8 U+1F3FC U+200D U+2642 U+FE0F	man in lotus position: medium-light skin tone
2147.png	man in lotus position: medium skin tone	🧘🏽‍♂️️	\U0001F9D8\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9D8 U+1F3FD U+200D U+2642 U+FE0F	man in lotus position: medium skin tone
2148.png	man in lotus position: medium-dark skin tone	🧘🏾‍♂️️	\U0001F9D8\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9D8 U+1F3FE U+200D U+2642 U+FE0F	man in lotus position: medium-dark skin tone
2149.png	man in lotus position: dark skin tone	🧘🏿‍♂️️	\U0001F9D8\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9D8 U+1F3FF U+200D U+2642 U+FE0F	man in lotus position: dark skin tone
2150.png	woman in lotus position: light skin tone	🧘🏻‍♀️️	\U0001F9D8\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D8 U+1F3FB U+200D U+2640 U+FE0F	woman in lotus position: light skin tone
2151.png	woman in lotus position: medium-light skin tone	🧘🏼‍♀️️	\U0001F9D8\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D8 U+1F3FC U+200D U+2640 U+FE0F	woman in lotus position: medium-light skin tone
2152.png	woman in lotus position: medium skin tone	🧘🏽‍♀️️	\U0001F9D8\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D8 U+1F3FD U+200D U+2640 U+FE0F	woman in lotus position: medium skin tone
2153.png	woman in lotus position: medium-dark skin tone	🧘🏾‍♀️️	\U0001F9D8\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D8 U+1F3FE U+200D U+2640 U+FE0F	woman in lotus position: medium-dark skin tone
2154.png	woman in lotus position: dark skin tone	🧘🏿‍♀️️	\U0001F9D8\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D8 U+1F3FF U+200D U+2640 U+FE0F	woman in lotus position: dark skin tone
2155.png	person taking bath: light skin tone	🛀🏻️	\U0001F6C0\U0001F3FB\U0000FE0F	U+1F6C0 U+1F3FB	person taking bath: light skin tone
2156.png	person taking bath: medium-light skin tone	🛀🏼️	\U0001F6C0\U0001F3FC\U0000FE0F	U+1F6C0 U+1F3FC	person taking bath: medium-light skin tone
2157.png	person taking bath: medium skin tone	🛀🏽️	\U0001F6C0\U0001F3FD\U0000FE0F	U+1F6C0 U+1F3FD	person taking bath: medium skin tone
2158.png	person taking bath: medium-dark skin tone	🛀🏾️	\U0001F6C0\U0001F3FE\U0000FE0F	U+1F6C0 U+1F3FE	person taking bath: medium-dark skin tone
2159.png	person taking bath: dark skin tone	🛀🏿️	\U0001F6C0\U0001F3FF\U0000FE0F	U+1F6C0 U+1F3FF	person taking bath: dark skin tone
2160.png	person in bed: light skin tone	🛌🏻️	\U0001F6CC\U0001F3FB\U0000FE0F	U+1F6CC U+1F3FB	person in bed: light skin tone
2161.png	person in bed: medium-light skin tone	🛌🏼️	\U0001F6CC\U0001F3FC\U0000FE0F	U+1F6CC U+1F3FC	person in bed: medium-light skin tone
2162.png	person in bed: medium skin tone	🛌🏽️	\U0001F6CC\U0001F3FD\U0000FE0F	U+1F6CC U+1F3FD	person in bed: medium skin tone
2163.png	person in bed: medium-dark skin tone	🛌🏾️	\U0001F6CC\U0001F3FE\U0000FE0F	U+1F6CC U+1F3FE	person in bed: medium-dark skin tone
2164.png	person in bed: dark skin tone	🛌🏿️	\U0001F6CC\U0001F3FF\U0000FE0F	U+1F6CC U+1F3FF	person in bed: dark skin tone
2165.png	people holding hands: light skin tone	🧑🏻‍🤝‍🧑🏻️	\U0001F9D1\U0001F3FB\U0000200D\U0001F91D\U0000200D\U0001F9D1\U0001F3FB\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F91D U+200D U+1F9D1 U+1F3FB	people holding hands: light skin tone
2166.png	people holding hands: light skin tone medium-light skin tone	🧑🏻‍🤝‍🧑🏼️	\U0001F9D1\U0001F3FB\U0000200D\U0001F91D\U0000200D\U0001F9D1\U0001F3FC\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F91D U+200D U+1F9D1 U+1F3FC	people holding hands: light skin tone, medium-light skin tone
2167.png	people holding hands: light skin tone medium skin tone	🧑🏻‍🤝‍🧑🏽️	\U0001F9D1\U0001F3FB\U0000200D\U0001F91D\U0000200D\U0001F9D1\U0001F3FD\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F91D U+200D U+1F9D1 U+1F3FD	people holding hands: light skin tone, medium skin tone
2168.png	people holding hands: light skin tone medium-dark skin tone	🧑🏻‍🤝‍🧑🏾️	\U0001F9D1\U0001F3FB\U0000200D\U0001F91D\U0000200D\U0001F9D1\U0001F3FE\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F91D U+200D U+1F9D1 U+1F3FE	people holding hands: light skin tone, medium-dark skin tone
2169.png	people holding hands: light skin tone dark skin tone	🧑🏻‍🤝‍🧑🏿️	\U0001F9D1\U0001F3FB\U0000200D\U0001F91D\U0000200D\U0001F9D1\U0001F3FF\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F91D U+200D U+1F9D1 U+1F3FF	people holding hands: light skin tone, dark skin tone
2170.png	people holding hands: medium-light skin tone light skin tone	🧑🏼‍🤝‍🧑🏻️	\U0001F9D1\U0001F3FC\U0000200D\U0001F91D\U0000200D\U0001F9D1\U0001F3FB\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F91D U+200D U+1F9D1 U+1F3FB	people holding hands: medium-light skin tone, light skin tone
2171.png	people holding hands: medium-light skin tone	🧑🏼‍🤝‍🧑🏼️	\U0001F9D1\U0001F3FC\U0000200D\U0001F91D\U0000200D\U0001F9D1\U0001F3FC\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F91D U+200D U+1F9D1 U+1F3FC	people holding hands: medium-light skin tone
2172.png	people holding hands: medium-light skin tone medium skin tone	🧑🏼‍🤝‍🧑🏽️	\U0001F9D1\U0001F3FC\U0000200D\U0001F91D\U0000200D\U0001F9D1\U0001F3FD\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F91D U+200D U+1F9D1 U+1F3FD	people holding hands: medium-light skin tone, medium skin tone
2173.png	people holding hands: medium-light skin tone medium-dark skin tone	🧑🏼‍🤝‍🧑🏾️	\U0001F9D1\U0001F3FC\U0000200D\U0001F91D\U0000200D\U0001F9D1\U0001F3FE\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F91D U+200D U+1F9D1 U+1F3FE	people holding hands: medium-light skin tone, medium-dark skin tone
2174.png	people holding hands: medium-light skin tone dark skin tone	🧑🏼‍🤝‍🧑🏿️	\U0001F9D1\U0001F3FC\U0000200D\U0001F91D\U0000200D\U0001F9D1\U0001F3FF\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F91D U+200D U+1F9D1 U+1F3FF	people holding hands: medium-light skin tone, dark skin tone
2175.png	people holding hands: medium skin tone light skin tone	🧑🏽‍🤝‍🧑🏻️	\U0001F9D1\U0001F3FD\U0000200D\U0001F91D\U0000200D\U0001F9D1\U0001F3FB\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F91D U+200D U+1F9D1 U+1F3FB	people holding hands: medium skin tone, light skin tone
